first_name,Damien
last_name,Abad
email,damien.abad@assemblee-nationale.fr
first_name,Xavier
last_name,Breton
email,xavier.breton@assemblee-nationale.fr
first_name,Charles
last_name,de la Verpillière
email,charles.delaverpilliere@assemblee-nationale.fr
first_name,Olga
last_name,Givernet
email,""
first_name,Stéphane
last_name,Trompille
email,stephane.trompille@assemblee-nationale.fr
first_name,Jean-Paul
last_name,Dufrègne
email,jean-paul.dufregne@assemblee-nationale.fr
first_name,Bénédicte
last_name,Peyrol
email,benedicte.peyrol@assemblee-nationale.fr
first_name,Laurence
last_name,Vanceunebrock
email,laurence.vanceunebrock-mialon@assemblee-nationale.fr
first_name,Fabrice
last_name,Brun
email,fabrice.brun@assemblee-nationale.fr
first_name,Hervé
last_name,Saulignac
email,herve.saulignac@assemblee-nationale.fr
first_name,Michèle
last_name,Victory
email,""
first_name,Jean-Yves
last_name,Bony
email,jean-yves.bony@assemblee-nationale.fr
first_name,Vincent
last_name,Descoeur
email,vincent.descoeur@assemblee-nationale.fr
first_name,Emmanuelle
last_name,Anthoine
email,emmanuelle.anthoine@assemblee-nationale.fr
first_name,Mireille
last_name,Clapot
email,mireille.clapot@assemblee-nationale.fr
first_name,Célia
last_name,de Lavergne
email,celia.delavergne@assemblee-nationale.fr
first_name,Alice
last_name,Thourot
email,alice.thourot@assemblee-nationale.fr
first_name,Isabelle
last_name,Valentin
email,isabelle.valentin@assemblee-nationale.fr
first_name,Jean-Pierre
last_name,Vigier
email,jean-pierre.vigier@assemblee-nationale.fr
first_name,Virginie
last_name,Duby-Muller
email,virginie.duby-muller@assemblee-nationale.fr
first_name,Frédérique
last_name,Lardet
email,frederique.lardet@assemblee-nationale.fr
first_name,Marion
last_name,Lenne
email,marion.lenne@assemblee-nationale.fr
first_name,Véronique
last_name,Riotton
email,veronique.riotton@assemblee-nationale.fr
first_name,Xavier
last_name,Roseren
email,xavier.roseren@assemblee-nationale.fr
first_name,Martial
last_name,Saddier
email,martial.saddier@assemblee-nationale.fr
first_name,Caroline
last_name,Abadie
email,caroline.abadie@assemblee-nationale.fr
first_name,Marie-Noëlle
last_name,Battistel
email,marie-noelle.battistel@assemblee-nationale.fr
first_name,Émilie
last_name,Chalas
email,emilie.chalas@assemblee-nationale.fr
first_name,Jean-Charles
last_name,Colas-Roy
email,jean-charles.colas-roy@assemblee-nationale.fr
first_name,Camille
last_name,Galliard-Minier
email,""
first_name,Élodie
last_name,Jacquier-Laforge
email,elodie.jacquier-laforge@assemblee-nationale.fr
first_name,Catherine
last_name,Kamowski
email,catherine.kamowski@assemblee-nationale.fr
first_name,Monique
last_name,Limon
email,monique.limon@assemblee-nationale.fr
first_name,Marjolaine
last_name,Meynier-Millefert
email,marjolaine.meynier-millefert@assemblee-nationale.fr
first_name,Cendra
last_name,Motin
email,cendra.motin@assemblee-nationale.fr
first_name,Julien
last_name,Borowczyk
email,julien.borowczyk@assemblee-nationale.fr
first_name,Dino
last_name,Cinieri
email,dino.cinieri@assemblee-nationale.fr
first_name,Valéria
last_name,Faure-Muntian
email,valeria.faure-muntian@assemblee-nationale.fr
first_name,Régis
last_name,Juanico
email,regis.juanico@assemblee-nationale.fr
first_name,Jean-Michel
last_name,Mis
email,jean-michel.mis@assemblee-nationale.fr
first_name,Nathalie
last_name,Sarles
email,nathalie.sarles@assemblee-nationale.fr
first_name,André
last_name,Chassaigne
email,andre.chassaigne@assemblee-nationale.fr
first_name,Michel
last_name,Fanget
email,michel.fanget@assemblee-nationale.fr
first_name,Christine
last_name,Pires Beaune
email,christine.piresbeaune@assemblee-nationale.fr
first_name,Valérie
last_name,Thomas
email,valerie.thomas@assemblee-nationale.fr
first_name,Laurence
last_name,Vichnievsky
email,laurence.vichnievsky@assemblee-nationale.fr
first_name,Yves
last_name,Blein
email,yves.blein@assemblee-nationale.fr
first_name,Bruno
last_name,Bonnell
email,bruno.bonnell@assemblee-nationale.fr
first_name,Blandine
last_name,Brocard
email,blandine.brocard@assemblee-nationale.fr
first_name,Anne
last_name,Brugnera
email,anne.brugnera@assemblee-nationale.fr
first_name,Danièle
last_name,Cazarian
email,daniele.cazarian@assemblee-nationale.fr
first_name,Jean-Luc
last_name,Fugit
email,jean-luc.fugit@assemblee-nationale.fr
first_name,Thomas
last_name,Gassilloud
email,thomas.gassilloud@assemblee-nationale.fr
first_name,Cyrille
last_name,Isaac-Sibille
email,cyrille.isaac-sibille@assemblee-nationale.fr
first_name,Hubert
last_name,Julien-Laferrière
email,hubert.julien-laferriere@assemblee-nationale.fr
first_name,Anissa
last_name,Khedher
email,anissa.khedher@assemblee-nationale.fr
first_name,Bernard
last_name,Perrut
email,bernard.perrut@assemblee-nationale.fr
first_name,Thomas
last_name,Rudigoz
email,thomas.rudigoz@assemblee-nationale.fr
first_name,Nathalie
last_name,Serre
email,""
first_name,Jean-Louis
last_name,Touraine
email,jean-louis.touraine@assemblee-nationale.fr
first_name,Émilie
last_name,Bonnivard
email,emilie.bonnivard@assemblee-nationale.fr
first_name,Typhanie
last_name,Degois
email,typhanie.degois@assemblee-nationale.fr
first_name,Patrick
last_name,Mignola
email,patrick.mignola@assemblee-nationale.fr
first_name,Vincent
last_name,Rolland
email,vincent.rolland@assemblee-nationale.fr
first_name,Yolaine
last_name,de Courson
email,yolaine.decourson@assemblee-nationale.fr
first_name,Rémi
last_name,Delatte
email,remi.delatte@assemblee-nationale.fr
first_name,Fadila
last_name,Khattabi
email,fadila.khattabi@assemblee-nationale.fr
first_name,Didier
last_name,Martin
email,didier.martin@assemblee-nationale.fr
first_name,Didier
last_name,Paris
email,didier.paris@assemblee-nationale.fr
first_name,Éric
last_name,Alauzet
email,eric.alauzet@assemblee-nationale.fr
first_name,Frédéric
last_name,Barbier
email,frederic.barbier@assemblee-nationale.fr
first_name,Fannette
last_name,Charvier
email,fannette.charvier@assemblee-nationale.fr
first_name,Annie
last_name,Genevard
email,annie.genevard@assemblee-nationale.fr
first_name,Denis
last_name,Sommer
email,denis.sommer@assemblee-nationale.fr
first_name,Barbara
last_name,Bessot Ballot
email,barbara.bessotballot@assemblee-nationale.fr
first_name,Christophe
last_name,Lejeune
email,christophe.lejeune@assemblee-nationale.fr
first_name,Danielle
last_name,Brulebois
email,danielle.brulebois@assemblee-nationale.fr
first_name,Marie-Christine
last_name,Dalloz
email,marie-christine.dalloz@assemblee-nationale.fr
first_name,Jean-Marie
last_name,Sermier
email,jean-marie.sermier@assemblee-nationale.fr
first_name,Perrine
last_name,Goulet
email,perrine.goulet@assemblee-nationale.fr
first_name,Patrice
last_name,Perrot
email,patrice.perrot@assemblee-nationale.fr
first_name,Josiane
last_name,Corneloup
email,josiane.corneloup@assemblee-nationale.fr
first_name,Benjamin
last_name,Dirx
email,benjamin.dirx@assemblee-nationale.fr
first_name,Raphaël
last_name,Gauvain
email,raphael.gauvain@assemblee-nationale.fr
first_name,Rémy
last_name,Rebeyrotte
email,remy.rebeyrotte@assemblee-nationale.fr
first_name,Cécile
last_name,Untermaier
email,cecile.untermaier@assemblee-nationale.fr
first_name,Ian
last_name,Boucard
